Fund,Yield_Bucket,Market_Value_Lacs,NAV_Percentage,Holdings_Count,Bucket_Order
ABSLF Corporate Bond Fund,5-6%,10257.57,0.3508655138079399,18,1
ABSLF Corporate Bond Fund,6-7%,1699461.66,59.402369345937664,117,2
ABSLF Corporate Bond Fund,7-8%,1038541.6900000001,36.3166257220646,80,3
ABSLF Corporate Bond Fund,>8%,43619.05,1.525308772495021,8,4
ABSLF Corporate Bond Fund,No Yield Info,7842.15,0.274231266985977,1,5
HDFC Corporate Bond Fund,5-6%,45950.69,1.28,2,1
HDFC Corporate Bond Fund,6-7%,2245244.77,62.4,156,2
HDFC Corporate Bond Fund,7-8%,1185848.57,32.93,69,3
HDFC Corporate Bond Fund,No Yield Info,9873.8,0.27,1,5
ICICI Corporate Bond Fund,5-6%,22308.29,0.6737813028399999,6,1
ICICI Corporate Bond Fund,6-7%,1936923.55,58.496162688249996,126,2
ICICI Corporate Bond Fund,7-8%,1165902.95,35.21397689689,57,3
ICICI Corporate Bond Fund,>8%,43784.83,1.32244111058,9,4
ICICI Corporate Bond Fund,No Yield Info,8085.84,0.2442180826,1,5
KOTAK Corporate Bond Fund,5-6%,636.55,0.04,2,1
KOTAK Corporate Bond Fund,6-7%,1161454.4,65.21000000000001,67,2
KOTAK Corporate Bond Fund,7-8%,517151.85000000003,29.02,41,3
KOTAK Corporate Bond Fund,>8%,29327.760000000002,1.66,11,4
KOTAK Corporate Bond Fund,No Yield Info,4729.78,0.27,1,5
NIPPON Corporate Bond Fund,5-6%,14960.97,1.5,2,1
NIPPON Corporate Bond Fund,6-7%,666178.01,66.47,95,2
NIPPON Corporate Bond Fund,7-8%,277924.7,27.74,41,3
NIPPON Corporate Bond Fund,No Yield Info,2523.63,0.25,1,5
SBI Corporate Bond Fund,5-6%,51946.69,2.06,3,1
SBI Corporate Bond Fund,6-7%,1388905.43,54.97,57,2
SBI Corporate Bond Fund,7-8%,961719.38,38.1,41,3
