AMC,ISIN,Instrument Name,Issuer_Clean,Market Value (Lacs),Market_Value_Crores,% to NAV,Yield,Standardized Rating,Maturity Date,Rank
ABSLF,IN0020240134,Government of India (18/11/2039),Government of India,272101.07,2721.0107000000003,9.51506655062674,6.809824000000001,SOVEREIGN,2039-11-18,1
HDFC,IN0020240134,6.92% GOI MAT 181139,Government of India,239726.56,2397.2656,6.66,6.8098,SOVEREIGN,2039-11-18,2
SBI,IN0020240126,6.79% CGL 2034,CGL 2034,236007.26,2360.0726,9.34,6.5233753,SOVEREIGN,,3
ABSLF,IN0020240126,Government of India (07/10/2034),Government of India,208121.08,2081.2108,7.27775885374148,6.523375,SOVEREIGN,2034-10-07,4
ICICI,IN0020200120,Government Securities,Government of India,192762.57,1927.6257,5.82204263796,7.28,SOVEREIGN,,5
KOTAK,IN0020230085,Central Government - 2033(^),Government of India,154759.18,1547.5918,8.690000000000001,6.54,SOVEREIGN,,6
ABSLF,INE261F08EO7,7.48% National Bank For Agriculture and Rural Development (15/09/2028) **,NABARD,131265.83,1312.6582999999998,4.59021777609958,6.694999999999999,AAA,2028-09-15,7
ICICI,IN0020240019,Government Securities,Government of India,123981.83,1239.8183,3.74464555329,6.52,SOVEREIGN,,8
HDFC,INE296A07TH8,Bajaj Finance Ltd.,Bajaj Finance,113265.45,1132.6544999999999,3.15,7.44,AAA,,9
ICICI,INE261F08DX0,NABARD **,NABARD,111323.72,1113.2372,3.36233037594,6.6,AAA,,10
ICICI,INE115A07RF8,LIC Housing Finance Ltd. **,LIC Housing Finance,110060.77,1100.6077,3.32418526951,7.36,AAA,,11
ICICI,INE261F08EM1,NABARD **,NABARD,97353.41,973.5341000000001,2.94038258553,6.73,AAA,,12
SBI,INE002A07809,Reliance Industries Ltd.,Reliance Industries,93349.96,933.4996000000001,3.7,6.96,AAA,,13
HDFC,IN0020200120,Floating Rate GOI 2033,Government of India,92515.5,925.155,2.57,7.35,SOVEREIGN,,14
ABSLF,IN0020240019,Government of India (08/04/2034),Government of India,84590.94,845.9094,2.9580496591903103,6.559081999999999,SOVEREIGN,2034-04-08,15
ICICI,INE01XX07034,Pipeline Infrastructure Pvt Ltd. **,Pipeline Infrastructure Pvt Ltd.,83390.51,833.9051,2.51865860068,7.01,AAA,,16
SBI,IN0020240118,7.09% CGL 2054,CGL 2054,83118.42,831.1842,3.29,7.1525086,SOVEREIGN,,17
SBI,INE062A08256,State Bank of India( Tier II Bond under Basel III ),SBI,82459.49,824.5949,3.26,6.2462,AAA,,18
HDFC,INE062A08454,State Bank of India (Tier 2 - Basel III)^,SBI,80500.08,805.0008,2.24,7.255,AAA,,19
SBI,INE261F08EJ7,National Bank for Agriculture and Rural Development,NABARD,79408.64,794.0864,3.14,6.77,AAA,,20
